English word,French word,Frequency
abide, respecter , 35
about, sur , 358
above, au dessus , 123
abroad, à l'étranger , 59
absence, absence , 55
abuse, abuser de , 43
according, selon , 24
account, Compte , 43
accuse, accuser , 34
acquainted, connaissance , 37
action, action , 109
advantage, avantage , 70
advice, Conseil , 43
affairs, affaires , 65
affection, affection , 67
affections, affections , 40
afraid, peur , 40
after, après , 323
afterwards, ensuite , 38
again, encore , 745
alive, vivant , 85
almost, presque , 139
alone, seul , 229
along, le long de , 108
already, déjà , 136
although, bien que , 37
always, toujours , 58
ambition, ambition , 42
ancient, ancien , 71
angel, ange , 51
anger, colère , 53
another, un autre , 344
answer, répondre , 356
anything, n'importe quoi , 99
apparel, vêtements , 39
appear, apparaître , 114
appears, apparaît , 48
approach, approche , 59
argument, argument , 66
ariel, Ariel , 0
armour, armure , 41
aside, de côté , 84
asleep, endormi , 58
assure, assurer , 46
athens, Athènes , 0
attend, assister , 100
attended, assisté , 41
authority, autorité , 51
avoid, éviter , 34
awake, éveillé , 60
awhile, quelque temps , 99
banish, bannir , 30
barren, Dénudé , 37
bassianus, bassianus , 0
bastard, Connard , 65
battle, bataille , 111
beard, barbe , 90
bearing, palier , 60
bears, ours , 101
beast, la bête , 69
beaten, battu , 44
beauty, beauté , 192
because, car , 81
become, devenir , 129
bedford, Bedford , 0
before, avant , 622
beggar, mendiant , 56
begin, commencer , 101
behalf, nom , 44
behind, derrière , 110
behold, voir , 112
being, étant , 544
believe, croyez , 180
belike, être comme , 22
below, au dessous de , 52
benefit, avantage , 39
besides, outre , 48
betray, trahir , 36
better, mieux , 561
between, entre , 189
beyond, au-delà , 42
birth, naissance , 83
bishop, évêque , 3
bitter, amer , 73
black, noir , 143
blame, faire des reproches , 81
bless, bénir , 84
blessing, bénédiction , 40
blest, heureux , 49
blind, aveugle , 77
blood, du sang , 624
blows, coups , 67
blunt, cru , 27
blush, rougir , 47
bodies, corps , 43
bones, des os , 75
borne, supporté , 74
bottom, bas , 35
bought, acheté , 50
bound, lié , 165
bounty, prime , 39
brain, cerveau , 79
brains, cerveaux , 45
brave, courageux , 146
breast, Sein , 94
breath, souffle , 204
breed, race , 45
brief, bref , 82
bright, brillant , 66
bring, apporter , 370
broke, cassé , 82
brook, ruisseau , 38
brother, frère , 502
brought, apporté , 186
brows, sourcils , 43
burden, fardeau , 42
buried, enterré , 53
burning, brûlant , 44
business, Entreprise , 229
cannot, ne peux pas , 715
capitol, Capitole , 0
captain, capitaine , 53
cardinal, cardinal , 6
cares, se soucie , 36
carry, porter , 78
castle, Château , 48
catch, capture , 67
cause, cause , 334
cease, cesser , 41
certain, certain , 166
chain, chaîne , 63
chair, chaise , 39
challenge, défi , 47
chamber, chambre , 105
chance, chance , 102
change, changement , 147
charge, charge , 195
charity, charité , 52
chaste, chaste , 36
cheek, joue , 74
cheer, acclamation , 70
chide, gronder , 45
chief, chef , 29
child, enfant , 215
choice, choix , 69
church, église , 52
cinna, cinna , 0
citizen, citoyenne , 5
civil, civil , 48
claim, prétendre , 62
clarence, clarté , 0
claud, claud , 0
claudio, Claudio , 0
clear, clair , 57
clifford, Clifford , 0
close, proche , 94
cloten, cailloter , 0
clothes, vêtements , 39
clouds, des nuages , 57
clown, pitre , 16
college, Université , 3
colour, Couleur , 71
comes, vient , 588
comfort, confort , 173
coming, venir , 140
cominius, cominius , 0
command, commander , 155
commanded, commandé , 35
commend, saluer , 57
commercial, commercial , 0
commission, commission , 47
commit, commettre , 30
common, commun , 149
companion, un compagnon , 36
company, entreprise , 199
complete, Achevée , 18
complexion, complexion , 40
condition, état , 53
conduct, conduite , 46
confess, avouer , 112
conscience, conscience , 118
consent, consentement , 87
consider, considérer , 36
constable, gendarme , 16
constant, constant , 47
contempt, mépris , 42
content, contenu , 139
contrary, contraire , 47
copies, copies , 4
copyright, droits d'auteur , 7
could, pourrait , 551
council, conseil , 21
counsel, Conseil , 126
count, compter , 40
counterfeit, contrefaire , 50
countess, comtesse , 1
country, pays , 134
courage, courage , 56
course, cours , 155
court, tribunal , 236
courtesy, courtoisie , 61
cousin, cousin , 219
coward, lâche , 82
crave, demander , 40
creature, créature , 65
credit, crédit , 50
cromwell, Cromwell , 0
cross, traverser , 61
crown, couronne , 252
cruel, cruel , 69
cunning, ruse , 72
cupid, Cupidon , 0
curse, malédiction , 95
custom, Douane , 41
dagger, dague , 40
damned, damné , 42
dance, Danse , 66
danger, danger , 96
darkness, obscurité , 36
daughter, fille , 390
deadly, mortel , 48
dearest, très cher , 55
dearly, chèrement , 41
death, décès , 790
deeds, actes , 118
defend, défendre , 65
degree, diplôme , 45
delight, délice , 55
deliver, livrer , 85
demand, demande , 53
denied, refusé , 52
depart, partir , 60
desert, désert , 41
deserve, mériter , 58
desire, le désir , 204
despair, désespoir , 46
desperate, désespéré , 49
despite, malgré , 44
device, dispositif , 41
devil, diable , 208
devise, concevoir , 43
didst, didst , 145
dinner, dîner , 83
discourse, discours , 57
discover, découvrir , 31
disgrace, disgrâce , 45
dishonour, déshonorer , 37
dispatch, envoi , 57
displeasure, mécontentement , 40
disposition, disposition , 44
distributed, distribué , 2
divine, Divin , 48
doctor, docteur , 29
doing, Faire , 61
dolabella, Dolabella , 0
doors, des portes , 61
double, double , 73
doubt, doute , 159
download, Télécharger , 0
dramatis, dramatis , 0
drawn, tiré , 79
dread, crainte , 44
dreadful, horrible , 59
dream, rêver , 112
dreams, rêves , 42
drink, boisson , 145
drops, gouttes , 49
drown, noyer , 39
drums, tambours , 35
drunk, ivre , 66
duncan, Duncan , 0
durst, durst , 45
dwell, habiter , 38
dying, en train de mourir , 43
early, de bonne heure , 45
earth, Terre , 298
edmund, Edmund , 0
effect, effet , 68
egypt, Egypte , 0
either, Soit , 109
elbow, coude , 11
elder, aîné , 39
embrace, embrasse , 61
emilia, Émilie , 0
emperor, empereur , 14
empty, vide , 48
encounter, rencontre , 50
endure, supporter , 73
enemies, ennemis , 111
enemy, ennemi , 156
enjoy, prendre plaisir , 42
enobarbus, énobarbus , 0
enough, assez , 286
enter, entrer , 111
entertain, divertir , 39
entertainment, divertissement , 37
entreat, supplier , 105
equal, égal , 42
estate, biens , 48
eternal, éternel , 37
every, chaque , 455
everything, tout , 40
excellent, excellent , 100
except, sauf , 22
excuse, excuse , 72
execution, exécution , 48
exeter, Exeter , 0
exeunt, sortir , 7
express, Express , 34
faces, visages , 53
faint, perdre connaissance , 43
fairy, Fée , 40
faith, Foi , 305
falls, des chutes , 62
FALSE, faux , 0
familiar, familier , 34
fancy, fantaisie , 46
farewell, adieu , 159
farther, plus loin , 42
fashion, mode , 97
fatal, fatal , 40
father, père , 780
fault, faute , 160
favour, favoriser , 116
fearful, craintif , 89
fears, peurs , 72
feast, le banquet , 95
feeble, faible , 21
fellow, compagnon , 281
fenton, Fenton , 0
ferdinand, Ferdinand , 0
fetch, chercher , 102
field, champ , 182
fiend, démon , 60
fierce, féroce , 37
fiery, ardent , 45
fight, bats toi , 263
figure, figure , 40
finds, trouve , 38
finger, doigt , 60
first, première , 457
flatter, flatter , 39
flesh, la chair , 128
flies, mouches , 52
flight, vol , 51
flood, inonder , 46
flourish, fleurir , 38
flower, fleur , 39
flowers, fleurs , 45
follow, suivre , 253
folly, folie , 77
foolish, insensé , 93
fools, imbéciles , 98
forbear, ancêtre , 43
forbid, interdire , 68
force, Obliger , 102
forces, les forces , 42
forest, forêt , 60
forget, oublier , 87
former, ancien , 63
forsooth, en vérité , 40
forth, en avant , 361
fortune, fortune , 240
forward, vers l'avant , 85
fought, combattu , 64
found, a trouvé , 211
fourth, Quatrième , 11
frame, Cadre , 44
france, France , 0
freely, librement , 52
french, français , 0
fresh, Frais , 83
friend, ami , 416
frown, froncer les sourcils , 44
fruit, fruit , 36
further, plus loin , 183
gallant, galant , 53
garden, jardin , 42
gates, portes , 101
gaunt, décharné , 5
general, général , 174
gentle, doux , 336
ghost, fantôme , 29
given, donné , 183
giving, donnant , 32
glass, verre , 56
glorious, glorieux , 40
glory, gloire , 82
going, Aller , 98
golden, d'or , 86
goodness, la bonté , 54
gower, gower , 0
grace, la grâce , 273
grant, subvention , 97
grave, la tombe , 172
great, génial , 807
green, vert , 78
greet, saluer , 41
grief, douleur , 205
grieve, pleurer , 39
gross, brut , 52
ground, sol , 160
grown, grandi , 55
guard, garde , 105
guess, devine , 47
guilty, coupable , 65
habit, habitude , 39
hands, mains , 316
hanging, pendaison , 31
hangs, bloque , 34
happiness, bonheur , 55
happy, heureux , 184
haste, hâte , 148
hateful, odieux , 39
having, ayant , 121
hazard, danger , 38
heads, têtes , 107
health, santé , 88
heard, entendu , 332
heart, cœur , 964
heaven, paradis , 538
heavy, lourd , 163
hector, Hector , 0
heels, talons , 71
hence, Par conséquent , 310
henceforth, désormais , 25
hereafter, ci-après, par la suite , 45
herself, se , 91
highness, altesse , 1
holds, tient , 73
hollow, creux , 46
honest, honnête , 269
horse, cheval , 218
hostess, hôtesse , 27
hours, heures , 136
house, maison , 512
hubert, Hubert , 0
humble, humble , 63
humour, humour , 85
hundred, cent , 113
husband, mari , 278
ignorant, ignorant , 47
image, image , 45
includes, comprend , 2
indeed, En effet , 354
infinite, infini , 38
innocent, innocent , 49
instant, instant , 61
intend, avoir l'intention , 50
intent, intention , 48
issue, problème , 109
itself, lui-même , 232
jealous, jaloux , 48
jewel, bijou , 56
judge, juge , 79
judgment, jugement , 97
julia, Julia , 0
justice, Justice , 139
keeps, garde , 68
kindness, la gentillesse , 49
kingdom, Royaume , 91
kings, rois , 105
knave, fripon , 160
kneel, s'agenouiller , 53
knees, les genoux , 51
knife, couteau , 51
knight, Chevalier , 114
knock, frappe , 54
knowing, connaissance , 31
knowledge, connaissance , 75
known, connu , 182
knows, sait , 204
labour, la main d'oeuvre , 78
ladies, Dames , 103
ladyship, Madame , 38
lands, terres , 53
large, grand , 68
laugh, rire , 82
launce, lancer , 0
lawful, légitime , 60
learn, apprendre , 84
learned, appris , 48
least, moins , 101
leave, laisser , 601
leisure, loisir , 63
leontes, leontes , 0
letter, lettre , 239
liberty, liberté , 69
library, bibliothèque , 3
liege, Liege , 134
lieutenant, lieutenant , 31
light, lumière , 247
limbs, membres , 47
little, peu , 471
lives, vies , 186
living, vivant , 118
longer, plus long , 106
looks, regards , 202
loose, ample , 46
lords, seigneurs , 322
lordship, seigneurie , 112
lorenzo, Lorenzo , 0
lovely, charmant , 53
lovers, les amoureux , 55
loves, aime , 193
loving, aimant , 114
lucentio, Lucentio , 0
machine, machine , 2
madness, la démence , 67
maiden, jeune fille , 41
maids, servantes , 39
maintain, maintenir , 38
majesty, majesté , 66
makes, fait du , 310
making, fabrication , 54
malice, malice , 68
manner, manière , 79
march, Mars , 74
marcius, Marcius , 0
marcus, Marcus , 0
margaret, margaret , 0
maria, maria , 0
mariana, Mariana , 0
marriage, mariage , 108
marry, marier , 179
master, Maître , 427
match, rencontre , 81
matter, matière , 346
meaning, sens , 52
means, veux dire , 261
meant, signifiait , 49
measure, mesure , 87
meeting, réunion , 47
membership, adhésion , 0
memory, Mémoire , 58
merchant, marchande , 24
mercy, pitié , 160
merit, mérite , 50
merry, joyeux , 164
messenger, Messager , 57
midnight, minuit , 41
might, pourrait , 449
mighty, puissant , 107
milan, Milan , 0
minds, esprits , 53
minister, ministre , 38
miranda, Miranda , 0
mirth, gaieté , 48
mischief, sottises , 41
misery, misère , 36
mistake, erreur , 34
mistress, maîtresse , 252
modest, modeste , 35
money, argent , 172
monster, monstre , 62
month, mois , 41
morning, Matin , 122
morrow, demain , 108
mortal, mortel , 94
mother, mère , 319
motion, mouvement , 78
mouth, bouche , 124
mowbray, mowbray , 0
murder, meurtre , 48
murther, aller plus loin , 33
music, la musique , 158
myself, moi même , 504
naked, nu , 50
names, des noms , 48
native, originaire de , 43
natural, Naturel , 56
nature, la nature , 300
needs, Besoins , 142
neighbour, voisine , 45
neither, ni , 153
never, jamais , 895
niece, nièce , 60
night, nuit , 617
noble, noble , 583
noise, bruit , 106
nothing, rien , 533
nought, néant , 54
number, nombre , 49
nurse, infirmière , 67
oaths, serments , 68
obedience, obéissance , 45
oberon, Oberon , 0
object, objet , 39
occasion, occasion , 72
offence, infraction , 92
offend, offenser , 56
offer, offre , 84
office, Bureau , 126
often, souvent , 120
oliver, oliver , 0
opinion, opinion , 80
order, ordre , 88
orlando, orlando , 0
other, autre , 651
others, autres , 177
ourselves, nous-mêmes , 106
outward, vers l'extérieur , 49
oxford, Oxford , 0
padua, Padoue , 0
pains, des douleurs , 90
painted, peint , 51
painter, peintre , 9
palace, palais , 151
pandarus, Pandarus , 0
paper, papier , 99
pardon, pardon , 229
paris, Paris , 0
parolles, parolles , 0
parted, séparé , 41
particular, particulier , 53
partly, partiellement , 33
parts, les pièces , 107
party, fête , 49
passage, passage , 35
passion, la passion , 102
patience, la patience , 158
patient, patient , 85
paulina, paulina , 0
peace, paix , 386
pedro, pedro , 0
people, gens , 188
perceive, apercevoir , 89
percy, Percy , 0
perfect, parfait , 54
perhaps, peut-être , 30
peril, péril , 41
permission, autorisation , 4
person, la personne , 146
personal, personnel , 13
phebe, phebe , 0
philip, Philippe , 0
picture, image , 41
piece, pièce , 86
pistol, pistolet , 3
place, endroit , 418
plague, peste , 88
plain, plaine , 110
plead, plaider , 40
please, S'il vous plaît , 333
pleasure, plaisir , 176
pluck, cueillir , 86
poins, poins , 0
point, point , 139
poison, poison , 75
policy, politique , 44
polixenes, polixènes , 0
pompey, pompey , 0
porter, porter , 15
possible, possible , 57
posthumus, posthume , 0
pound, livre , 51
power, Puissance , 299
practice, entraine toi , 40
praise, louange , 177
prayers, prières , 84
precious, précieux , 74
prepare, préparer , 48
presence, présence , 103
present, présent , 235
pretty, jolie , 108
pride, fierté , 106
priest, prêtre , 58
prince, prince , 108
prison, prison , 87
private, privé , 66
prize, prix , 46
proceed, procéder , 47
proclaim, proclamer , 30
profit, profit , 36
prohibited, interdit , 0
project, projet , 11
prologue, prologue , 18
promise, promettre , 99
proof, preuve , 74
proper, correct , 60
protector, protecteur , 2
protest, manifestation , 50
proud, fier , 182
prove, prouver , 231
provided, à condition de , 26
public, Publique , 55
purpose, objectif , 197
purse, bourse , 80
quality, qualité , 53
quarrel, querelle , 93
queen, reine , 171
question, question , 141
quick, rapide , 90
quiet, silencieux , 73
quite, assez , 72
quoth, quoth , 61
raise, élever , 43
ransom, une rançon , 53
rascal, coquin , 55
rather, plutôt , 284
readable, lisible , 2
ready, prêt , 125
realm, domaine , 53
reason, raison , 271
receive, recevoir , 79
regard, qui concerne , 41
reign, règne , 39
reignier, règne , 0
remain, rester , 56
remedy, remède , 57
remember, rappelles toi , 147
render, rendre , 39
repair, réparation , 38
repent, se repentir , 52
report, rapport , 140
reputation, réputation , 44
request, demande , 63
respect, le respect , 98
return, revenir , 175
revenge, vengeance , 129
reverence, révérence , 39
revolt, révolte , 40
right, droite , 320
rivers, rivières , 11
rogue, coquin , 76
rotten, pourri , 35
rough, rugueux , 63
round, rond , 70
royal, Royal , 201
sacred, sacré , 46
safety, sécurité , 72
saint, Saint , 22
salerio, salerio , 0
satisfied, satisfait , 47
saying, en disant , 50
scarce, rare , 65
scene, scène , 34
scorn, mépris , 92
search, chercher , 35
season, saison , 39
second, seconde , 100
secret, secret , 63
seeing, voyant , 39
senate, sénat , 0
senator, sénateur , 4
sense, sens , 120
sentence, phrase , 39
servant, serviteur , 138
serve, servir , 182
service, un service , 216
seven, Sept , 62
several, nombreuses , 79
shadow, ombre , 68
shake, secouer , 90
shall, doit , 3113
shame, la honte , 286
shape, forme , 86
sharp, tranchant , 60
shepherd, berger , 53
shine, éclat , 42
shore, rive , 47
short, court , 91
shortly, prochainement , 44
should, devrait , 1422
shows, montre , 94
sickness, maladie , 50
sight, vue , 194
silence, silence , 61
silver, argent , 58
simple, Facile , 67
since, depuis , 285
single, Célibataire , 57
sirrah, sirrah , 73
sister, sœur , 176
skill, compétence , 46
slain, tué , 122
slander, calomnie , 41
slave, esclave , 121
sleep, sommeil , 232
slender, mince , 10
small, petit , 82
smell, odeur , 47
smile, sourire , 69
soldier, soldat , 128
solemn, solennel , 38
somerset, somerset , 0
something, quelque chose , 149
sometime, parfois , 58
sooner, plus tôt , 60
soothsayer, devin , 3
sorrow, chagrin , 168
sorry, Pardon , 87
sought, recherché , 34
souls, âmes , 106
sound, du son , 169
sovereign, souverain , 137
spare, de rechange , 48
speak, parler , 957
speaks, parle , 124
special, spécial , 37
speech, discours , 124
speed, la vitesse , 110
spend, dépenser , 66
spirit, esprit , 251
spite, dépit , 59
spoke, parlait , 137
sport, sport , 117
spring, printemps , 53
staff, Personnel , 39
stain, tache , 36
stand, supporter , 444
stars, étoiles , 67
state, Etat , 299
steal, voler , 77
steel, acier , 65
steward, intendant , 22
still, encore , 485
stomach, estomac , 40
stone, calcul , 55
stood, se tenait , 82
store, boutique , 37
storm, orage , 50
story, récit , 66
straight, tout droit , 144
strange, étrange , 239
street, rue , 79
strength, force , 116
strike, la grève , 116
stroke, accident vasculaire cérébral , 39
strong, fort , 175
struck, frappé , 71
study, étude , 55
stuff, des trucs , 48
subject, matière , 101
substance, substance , 41
success, Succès , 44
sudden, soudain , 78
suddenly, tout à coup , 48
suffer, souffrir , 77
suffolk, suffolk , 0
summer, été , 54
supper, souper , 52
surely, sûrement , 34
surrey, Surrey , 0
suspect, suspect , 35
swear, jurer , 228
sweat, transpiration , 36
sweet, sucré , 645
swift, rapide , 63
sword, épée , 339
swore, juré , 50
sworn, juré , 129
syracuse, Syracuse , 0
table, table , 55
tailor, tailleur , 32
taken, pris , 88
talbot, talbot , 0
tarry, goudronneux , 35
taste, goût , 74
taught, enseigné , 47
teach, enseigner , 91
tears, larmes , 269
tedious, fastidieux , 43
teeth, les dents , 52
tells, raconte , 40
tempest, tempête , 40
tender, soumissionner , 135
terms, termes , 73
thank, remercier , 275
their, leur , 1934
themselves, se , 157
there, Là , 1308
therefore, par conséquent , 361
therein, la bride , 47
these, celles-ci , 1096
thief, voleur , 66
thing, chose , 350
think, pense , 941
third, troisième , 70
thomas, Thomas , 0
those, ceux , 465
though, bien que , 394
thought, pensée , 365
thrive, prospérer , 56
throat, gorge , 49
throne, trône , 66
through, par , 225
throw, jeter , 88
thrust, poussée , 47
thunder, tonnerre , 48
times, fois , 202
title, Titre , 85
together, ensemble , 236
tongue, langue , 386
tonight, ce soir , 47
touch, toucher , 105
toward, vers , 94
tower, la tour , 10
train, train , 67
traitor, traitre , 120
tread, bande de roulement , 39
treason, trahison , 82
treasure, Trésor , 51
trial, procès , 57
tribunes, tribunes , 27
trick, tour , 50
triumph, triomphe , 44
trouble, difficulté , 72
truly, vraiment , 120
trumpet, trompette , 73
trust, confiance , 155
truth, vérité , 325
turns, se tourne , 47
twice, deux fois , 61
tyrant, tyran , 46
ulysses, Ulysse , 0
uncle, oncle , 173
under, sous , 200
understand, comprendre , 96
undertake, entreprendre , 44
undone, défait , 51
unhappy, malheureux , 34
unknown, inconnue , 40
unless, sauf si , 64
until, jusqu'à , 41
unworthy, indigne , 31
utter, prononcer , 37
valentine, Valentin , 0
valiant, vaillant , 142
valour, valeur , 93
vantage, avantage , 38
vengeance, vengeance , 47
venice, venise , 0
version, version , 1
victory, la victoire , 46
villain, scélérat , 215
viola, alto , 0
violent, violent , 40
virtue, vertu , 167
visit, visite , 50
voice, voix , 152
walls, des murs , 83
warlike, guerrier , 57
warrant, mandat , 173
waste, déchets , 43
watch, regarder , 113
water, eau , 132
wealth, richesse , 71
weapons, armes , 39
weary, se lasser , 70
weeds, mauvaises herbes , 41
weeping, larmes , 52
weight, poids , 43
welcome, Bienvenue , 269
wench, jeune fille , 53
whence, d'où , 58
where, où , 645
wherein, où , 66
whether, qu'il s'agisse , 55
which, lequel , 1410
while, tandis que , 173
whither, où , 38
whole, entier , 119
whore, putain , 40
whose, dont , 380
widow, veuve , 60
willing, prêt , 35
window, la fenêtre , 44
wings, ailes , 54
winter, hiver , 43
wisdom, sagesse , 88
witch, sorcière , 41
withal, avec , 133
within, dans , 308
without, sans pour autant , 283
witness, témoin , 105
wives, épouses , 57
wolsey, Wolsey , 0
woman, femme , 310
wonder, merveille , 110
works, travaux , 23
world, monde , 614
worse, pire , 147
worship, culte , 93
worth, vaut , 199
would, aurait , 2020
wound, blessure , 70
wounded, blessés , 36
wrath, colère , 53
wretch, misérable , 57
write, écrire , 105
written, écrit , 34
wrong, faux , 221
wrought, forgé , 40
yield, rendement , 128
yonder, là-bas , 56
young, Jeune , 401
yours, le tiens , 240
yourself, toi même , 268
youth, jeunesse , 266
